Horas después de la siembra;Aislamiento;Repetición;Area
36;10_1.tif;1;10.369
36;10_2.tif;2;2.406
36;10_3.tif;3;5.659
36;1_1.tif;1;7.867
36;1_2.tif;2;5.947
36;1_3.tif;3;6.22
36;2_1.tif;1;0.618
36;2_2.tif;2;1.584
36;2_3.tif;3;1.818
36;3_1.tif;1;25.945
36;3_2.tif;2;30.85
36;3_3.tif;3;27.088
36;4_1.tif;1;6.205
36;4_2.tif;2;1.881
36;4_3.tif;3;3.722
36;5_1.tif;1;1.51
36;5_2.tif;2;1.57
36;5_3.tif;3;1.333
36;6_1.tif;1;20.793
36;6_2.tif;2;18.25
36;6_3.tif;3;16.749
36;7_1.tif;1;12.513
36;7_2.tif;2;7.643
36;7_3.tif;3;7.475
36;8_1.tif;1;22.405
36;8_2.tif;2;25.483
36;8_3.tif;3;30.031
36;C004_1.tif;1;8.334
36;C004_2.tif;2;9.495
36;C004_3.tif;3;10.108
36;C005_1.tif;1;17.234
36;C005_2.tif;2;10.265
36;C005_3.tif;3;NA
36;C006_1.tif;1;20.222
36;C006_2.tif;2;22.872
36;C006_3.tif;3;22.396
36;C008_1.tif;1;31.519
36;C008_2.tif;2;30.973
36;C008_3.tif;3;22.076
36;C011_1.tif;1;25.685
36;C011_2.tif;2;23.277
36;C011_3.tif;3;24.475
84;10_1.tif;1;58
84;10_2.tif;2;58
84;10_3.tif;3;58
84;1_1.tif;1;56.355
84;1_2.tif;2;52.296
84;1_3.tif;3;36.21
84;2_1.tif;1;1.351
84;2_2.tif;2;1.838
84;2_3.tif;3;9.57
84;3_1.tif;1;58
84;3_2.tif;2;58
84;3_3.tif;3;58
84;4_1.tif;1;44.709
84;4_2.tif;2;6.523
84;4_3.tif;3;44.248
84;5_1.tif;1;12.408
84;5_2.tif;2;15.026
84;5_3.tif;3;15.793
84;6_1.tif;1;58
84;6_2.tif;2;58
84;6_3.tif;3;58
84;7_1.tif;1;58
84;7_2.tif;2;58
84;7_3.tif;3;58
84;C004_1.tif;1;17.966
84;C004_2.tif;2;14.961
84;C004_3.tif;3;23.837
84;C005_1.tif;1;58
84;C005_2.tif;2;58
84;C005_3.tif;3;58
84;C006_1.tif;1;58
84;C006_2.tif;2;58
84;C006_3.tif;3;58
84;C011_1.tif;1;58
84;C011_2.tif;2;58
84;C011_3.tif;3;58
84;8_1.tif;1;58
84;8_2.tif;2;58
84;8_3.tif;3;58
84;C008_1.tif;1;58
84;C008_2.tif;2;58
84;C008_3.tif;3;58
